# 
# This is the dataset for a time series observation of the star
# PG1605+072 at 15.05.2001 in the R-band
# 
# The 1st column are time information in seconds,
# the 2nd column contain the brightness in mmag
#     
1.375645750000000000e+06 4.360961292011505748e+02
1.375694899999999907e+06 4.023164971018143774e+02
1.375745000000000000e+06 3.813550857228282780e+02
1.375795899999999907e+06 3.862089296210688758e+02
1.375846300000000047e+06 4.184030290532265894e+02
1.375895949999999953e+06 4.569277990000772434e+02
1.375946000000000000e+06 4.972205359631901160e+02
1.375996000000000000e+06 5.175414764443230524e+02
1.376045949999999953e+06 4.919094595621503458e+02
1.376095899999999907e+06 4.365831536564406292e+02
1.376145899999999907e+06 3.909447879529907937e+02
1.376195899999999907e+06 4.014427019894355340e+02
1.376245899999999907e+06 3.923700991841988071e+02
1.376295899999999907e+06 4.328068569183552654e+02
1.376345899999999907e+06 4.446064091827691414e+02
1.376396800000000047e+06 4.795806405243570225e+02
1.376447000000000000e+06 4.853261076986029252e+02
1.376497000000000000e+06 4.725418489826320751e+02
1.376547000000000000e+06 4.501309357750179743e+02
1.376597000000000000e+06 4.476025857371928964e+02
1.376646899999999907e+06 4.133540121311996813e+02
1.376697000000000000e+06 4.264668043389680179e+02
1.376746899999999907e+06 4.259751355593535322e+02
1.376797000000000000e+06 4.275356243911760998e+02
1.376847000000000000e+06 4.348683381809428852e+02
1.376897000000000000e+06 4.480738948860343385e+02
1.376946899999999907e+06 4.829051456075567899e+02
1.376996899999999907e+06 4.863465335264178293e+02
1.377047000000000000e+06 4.796980834740387536e+02
1.377097000000000000e+06 4.616895591807367509e+02
1.377146899999999907e+06 4.305928117907849924e+02
1.377197800000000047e+06 4.062475934244927203e+02
1.377247899999999907e+06 3.960730188504911666e+02
1.377297899999999907e+06 4.075725022183792703e+02
1.377348000000000000e+06 4.452408955611423380e+02
1.377398000000000000e+06 4.811051068380202196e+02
1.377447899999999907e+06 5.042765014524772482e+02
1.377498000000000000e+06 4.977481082908622625e+02
1.377548000000000000e+06 4.620108390843395796e+02
1.377597949999999953e+06 4.098324235547485728e+02
1.377647899999999907e+06 3.966562407091023488e+02
1.377697899999999907e+06 4.086695423905554208e+02
1.377747949999999953e+06 4.289508930345232329e+02
1.377797899999999907e+06 4.514612249095957281e+02
1.377848000000000000e+06 4.634057429884605313e+02
1.377897899999999907e+06 4.635141304199754586e+02
1.377947899999999907e+06 4.577686446228988757e+02
1.377998699999999953e+06 4.469857457145516264e+02
1.378047899999999907e+06 4.231277026743674696e+02
1.378097899999999907e+06 4.363336639775506569e+02
1.378147800000000047e+06 4.485288904499021214e+02
1.378198000000000000e+06 4.520414550614826226e+02
1.378248100000000093e+06 4.387913882785157966e+02
1.378298100000000093e+06 4.175571838259140236e+02
